post_id,url,tags,
2389,travel-with-a-barat,"India, thumbsUpPopup, Domestic, fun, humor, showadsonblog",
2413,international-honeymoon-destinations-on-your-budget,"showForm, Honeymoon, Bot, Places To Visit, Romantic, referralpopup, Budget, thumbsUpPopup, International, Couples",
2420,26-world-cup-moments-that-you-should-spread-till-it-reaches-pakistan-indiavspakistan,"India, News, Infoop, thumbsUpPopup, Domestic, cricket, showadsonblog",
2502,offbeat-kerala-backwaters,"India, Kerala, Things To Do, Offbeat, thumbsUpPopup, Domestic, South India, Backwaters",
2535,family-vacation-in-east-africa,"Adventure, Family, Places To Visit, Africa, wildlife, thumbsUpPopup, International, beautiful places, travel ideas, East Africa, family holiday",
2555,scuba-diving-in-andaman-islands,"showForm, Adventure, India, Bot, Andaman, Islands, thumbsUpPopup, Domestic, Water Activities, Scuba Diving, Havelock Island, watersports, Neil island, Port Blair",
2574,shopping-destinations-in-india,"India, Bot, Things To Do, Places To Visit, Delhi, Goa, Kolkata, Mumbai, Hyderabad, Shopping, jaipur, thumbsUpPopup, Domestic, Cochin, showadsonblog",
2599,music-festivals-in-india,"India, Goa, Bangalore, Mumbai, Rajasthan, thumbsUpPopup, Domestic, music festivals, sunburn, Himachal Pradesh, showadsonblog",
2619,crazy-selfies,"Travel Punch, Youngistaan, Photo Blogs, Offbeat, thumbsUpPopup",
2680,budget-beaches-south-east-asia,"showForm, Asia, Bot, Places To Visit, beaches, referralpopup, Budget, thumbsUpPopup, International, South East Asia",
2712,top-honeymoon-destinations-in-india,"showForm, India, Bot, Places To Visit, Delhi, Romantic, referralpopup, thumbsUpPopup, Domestic, Couples, weekend, North India, showadsonblog",
2780,budget-international-trips,"Places To Visit, referralpopup, Budget, thumbsUpPopup, International",
2890,travel-to-himalayas-young,"Adventure, Things To Do, Places To Visit, thumbsUpPopup, himalayas, Water Activities, trekking, hills, hill stations, camping, showadsonblog",
2899,international-trips-50-dollars-a-day,"Worldwide, Places To Stay, Things To Do, Places To Visit, Budget Travel, Budget, thumbsUpPopup, food, International, travel inspiration, travel ideas",
2947,rang-barse-awesome-places-to-celebrate-holi-this-year,"India, Places To Visit, thumbsUpPopup, Domestic, festivals, Holi",
2968,romantic-kerala-beaches,"Honeymoon, India, Kerala, Places To Visit, Romantic, beaches, thumbsUpPopup, Domestic, Couples, South India, weekend",
2975,romantic-beach-resorts-in-sri-lanka,"showForm, Honeymoon, Asia, Sri Lanka, Places To Stay, Resorts, Romantic, beaches, thumbsUpPopup, International, Couples",
2985,10-romantic-beach-resorts-in-india,"showForm, Honeymoon, India, Places To Stay, Bot, Resorts, Romantic, beaches, thumbsUpPopup, Domestic, Couples",
3005,bhutan-travel-experience,"Asia, Things To Do, Places To Visit, Bhutan, thumbsUpPopup, International, Guide, tips",
3041,water-adventures-in-india-for-couples,"Honeymoon, Romantic Travel, Adventure, India, Bot, Things To Do, Places To Visit, thumbsUpPopup, Domestic, Couples, Water Activities, travel ideas, watersports",
3046,adventure-holidays-in-india-for-summer,"Adventure, India, Bot, Places To Visit, thumbsUpPopup, Domestic, Scuba Diving, trekking, summer, camping, bungee jumping, seasons, paragliding, skydiving, rafting, surfing, biking, dune bashing, safari, hot air ballooning, sea walking",
3075,wildlife-experience-india,"showForm, India, Bot, Places To Visit, referralpopup, wildlife, thumbsUpPopup, Domestic, showadsonblog",
3117,8-inspirational-stories-of-women-on-wanderlust,"India, Inspirational, thumbsUpPopup, women travel, showadsonblog",
3166,resorts-in-the-hills-of-india,"showForm, Honeymoon, India, Places To Stay, Himachal, Resorts, hotels, Romantic, Uttarakhand, Srinagar, thumbsUpPopup, Domestic, hills, Gulmarg, Coorg",
3231,the-ultimate-kerala-honeymoon-bucket-list,"Honeymoon, Kerala, Bot, Things To Do, Places To Visit, Romantic, thumbsUpPopup, Sightseeing, Domestic, bucket list, houseboat",
3260,budget-bars-india,"India, Places To Visit, Budget, thumbsUpPopup, Domestic, weekend, fun, showadsonblog",
3293,19-photos-that-will-inspire-you-to-explore-sri-lanka-right-now,"Asia, Sri Lanka, Photo Blogs, thumbsUpPopup, International, tourist attractions, Inspiration",
3323,best-destinations-in-india-for-hot-air-balloon-ride,"Adventure, India, Places To Visit, referralpopup, thumbsUpPopup, Domestic, hot air balloon ride",
3347,let-the-greatest-poets-inspire-you-to-travel-this-world-poetry-day,"Worldwide, Inspirational, Photo Blogs, thumbsUpPopup, travel quotes, showadsonblog",
3377,some-shit-just-brought-down-britishairways-aircraft,"LOL, Trending, Dubai, Infoop, thumbsUpPopup, International, just for fun, travel news, showadsonblog",
3459,stargazing-during-summer,"Travel Punch, India, Things To Do, nature, thumbsUpPopup, summer, stargazing, showadsonblog",
3496,places-with-their-names-in-shades-of-grey,"Worldwide, Places To Visit, thumbsUpPopup, humor",
3561,goa-vs-gokarna,"India, Goa, Karnataka, referralpopup, thumbsUpPopup, Domestic, Gokarna, comparison",
3581,cruise-vacations-in-india,"showForm, India, Bot, referralpopup, thumbsUpPopup, Domestic, cruises",
3596,most-beautiful-waterfalls-in-india,"showForm, India, Bot, Places To Visit, Waterfalls, referralpopup, thumbsUpPopup, Domestic, weekend",
3612,weekend-getaways-from-mumbai,"showForm, India, Bot, Places To Visit, Mumbai, Maharashtra, thumbsUpPopup, Domestic, weekend, places near Mumbai, showadsonblog",
3650,reasons-why-you-should-never-visit-north-east-india,"India, North East, referralpopup, thumbsUpPopup, Domestic",
3712,weekend-getaways-from-bangalore,"showForm, India, Bot, Bangalore, Karnataka, thumbsUpPopup, Domestic, South India, weekend, places near Bangalore, showadsonblog",
3791,5-girls-ride-on-the-most-dangerous-roads-in-the-world,"Adventure, Worldwide, News, Video, thumbsUpPopup, Inspiration, travel ideas, girls, roadtrips, bikes",
3811,9-types-of-men-you-would-love-to-meet-while-traveling,"Romantic Travel, Worldwide, Infoop, thumbsUpPopup, travel inspiration",
3826,9-types-of-girls-you-would-love-to-meet-while-traveling,"Romantic Travel, Worldwide, Infoop, thumbsUpPopup, travel inspiration",
3866,overrated-destinations-in-india,"India, Places To Visit, Offbeat, thumbsUpPopup, Domestic",
3939,awww-the-confession-of-sallu-bhai-through-his-travel-playlist,"Bollywood, thumbsUpPopup, humor",
3965,friends-who-are-definitely-going-to-screw-up-your-trip,"thumbsUpPopup, friends, humor",
3999,hiring-social-media-executives,"Romantic Travel, News, thumbsUpPopup",
4052,top-honeymoon-destinations-in-kerala,"showForm, Honeymoon, India, Kerala, Bot, Places To Visit, Romantic, referralpopup, thumbsUpPopup, Domestic, Couples",
4080,reasons-to-love-delhi,"India, Delhi, thumbsUpPopup, Domestic, Guide, showadsonblog",
4140,villains-with-whom-you-can-travel-like-a-boss,"Worldwide, Infoop, thumbsUpPopup, just for fun, travel ideas, showadsonblog",
4155,top-hill-stations-in-karnataka,"showForm, India, Bot, Places To Visit, Karnataka, referralpopup, thumbsUpPopup, Domestic, South India, hill stations, showadsonblog",
4177,best-adventure-destinations-in-india,"Adventure, India, Places To Visit, referralpopup, thumbsUpPopup, Domestic",
4183,luxurious-hotels-in-india,"Honeymoon, India, Places To Stay, Places To Visit, Weekend Getaways, Resorts, hotels, Romantic, thumbsUpPopup, Domestic, luxury travel, destination weddings, royal, showadsonblog",
4185,most-colorful-places-in-india,"India, Photo Blogs, Places To Visit, thumbsUpPopup, Domestic, beautiful places, showadsonblog",
4221,mauritius-honeymoon-beach-resorts,"showForm, Honeymoon, Places To Stay, Bot, Mauritius, Africa, Islands, Resorts, Romantic, beaches, thumbsUpPopup, International, Couples",
4236,rahul-gandhi-is-back-again,"Worldwide, News, Trending, Infoop, thumbsUpPopup, just for fun",
4251,best-honeymoon-destinations-in-europe-in-summer,"showForm, Honeymoon, Bot, Places To Visit, Europe, Romantic, thumbsUpPopup, International, Couples, summer, seasons",
4259,things-to-do-in-ladakh,"showForm, India, Things To Do, Ladakh, referralpopup, Leh, thumbsUpPopup, Domestic, activities",
4263,things-you-do-when-you-hate-the-cold-and-go-to-a-cold-place,"Winter Travel, Worldwide, Travel Tips, Infoop, thumbsUpPopup, Travel Hacks, just for fun, hill stations, travel inspiration, traveler type, showadsonblog",
4356,types-of-people-you-meet-when-travelling-in-indian-train,"thumbsUpPopup, humor, trains, showadsonblog",
4402,the-great-indian-travel-festival-2015,"India, Things To Do, Places To Visit, Festival, thumbsUpPopup, Domestic, events, travel inspiration, travel festivals",
4485,most-beautiful-villages-in-india-that-you-must-visit,"showForm, India, Bot, Places To Visit, referralpopup, thumbsUpPopup, Domestic, beautiful places, villages",
4512,things-you-dont-need-on-your-european-packing-list,"Travel Tips, Things To Do, Europe, thumbsUpPopup, International",
4536,dreamy-taj-hotels-make-you-feel-royalty,"India, Places To Stay, Luxury, Resorts, hotels, thumbsUpPopup, Domestic, Taj Hotels",
4547,things-turkey-does-better-than-anywhere-else,"Things To Do, Places To Visit, Europe, Turkey, thumbsUpPopup, International, travel ideas",
4566,highway-dhabas-in-north-india-to-please-your-hungry-soul,"India, thumbsUpPopup, food, Domestic, North India, showadsonblog",
4600,reasons-why-men-like-travelling-with-their-guy-gang,"LOL, thumbsUpPopup, showadsonblog",
4609,offbeat-trekking-spots-in-himalayas,"Adventure, India, Bot, Places To Visit, Himachal, Kashmir, Offbeat, Uttarakhand, thumbsUpPopup, himalayas, Domestic, trekking, West Bengal, North India, showadsonblog",
4623,reasons-why-you-should-never-visit-sri-lanka,"Asia, Sri Lanka, Photo Blogs, thumbsUpPopup, International",
4661,beyond-thailand-travel-destinations-in-asia-this-summer,"Romantic Travel, Asia, Bot, Places To Visit, Beach, Budget, thumbsUpPopup, International, Couples, summer, travel ideas",
4663,sizziling-experiences-on-eurotrip,"Adventure, Travel Tips, Things To Do, Europe, thumbsUpPopup, International, travel ideas",
4822,real-world-destinations-all-disney-lovers-must-travel-to,"Worldwide, Places To Visit, Infoop, thumbsUpPopup, inspirational beautiful places, must visit, showadsonblog",
4861,worlds-clearest-water-you-would-want-to-dive-in,"Worldwide, Places To Visit, Maldives, Turkey, Indonesia, malaysia, Spain, Australia, thumbsUpPopup, watersports, showadsonblog",
4929,weekend-getaways-from-kolkata,"showForm, India, Bot, Kolkata, thumbsUpPopup, Domestic, weekend, West Bengal, places near Kolkata",
4969,deadly-destinations-in-india-for-the-bravehearts,"Andaman, thumbsUpPopup, Mt Abu, Rishikesh, Roopkund, Bhangarh",
4992,reasons-why-engineers-dont-travel-with-the-babes,"Worldwide, Travel Tips, Infoop, thumbsUpPopup, just for fun, travel ideas",
5045,best-resorts-in-maldives-for-honeymoon,"showForm, Honeymoon, Asia, Places To Stay, Bot, Maldives, Islands, Resorts, Romantic, thumbsUpPopup, International, Couples",
5089,strange-retreats-for-the-ultimate-wanderer,"Adventure, Worldwide, Places To Stay, hotels, thumbsUpPopup, weird hotels, weird places, strange places, showadsonblog",
5109,worlds-most-expensive-celebrity-honeymoon-destinations,"Honeymoon, Worldwide, Places To Visit, Luxury, Romantic, thumbsUpPopup, Couples",
5111,reasons-to-visit-singapore-in-2015,"Asia, Things To Do, Places To Visit, Singapore, Shopping, thumbsUpPopup, International, Guide, festivals, safari",
5144,yoga-meditation-retreats-in-india,"India, Places To Visit, referralpopup, thumbsUpPopup, Domestic, travel inspiration, meditation, relaxation, showadsonblog",
5257,sizzling-honeymoon-destinations-for-the-crazy-ones,"Honeymoon, Adventure, Worldwide, Things To Do, Places To Visit, Offbeat, Romantic, referralpopup, thumbsUpPopup, International, Couples, travel ideas",
5283,things-you-need-on-your-european-packing-list,"Europe, thumbsUpPopup, International, Guide, tips, packing",
5301,reasons-not-to-visit-chennai,"India, Photo Blogs, Chennai, thumbsUpPopup, Domestic, South India, Tamil Nadu",
5347,reasons-to-visit-mcleodganj-this-summer,"India, Himachal, thumbsUpPopup, Domestic, Guide, summer, Mcleodganj, seasons, North India, tips",
5358,countries-you-must-visit-to-taste-yummiest-breakfast,"Worldwide, Infoop, thumbsUpPopup, food, travel",
5392,why-travelling-with-mom-is-the-best-thing-this-mothers-day,"Infoop, thumbsUpPopup, travel inspiration, travel ideas, mother's day, showadsonblog",
5449,places-to-visit-in-india-before-you-turn-30,"showForm, India, Bot, Places To Visit, referralpopup, Domestic",
5509,places-to-visit-in-singapore-for-honeymoon,"showForm, Honeymoon, Asia, Bot, Places To Visit, Singapore, Romantic, referralpopup, thumbsUpPopup, International, Couples",
5536,best-honeymoon-destinations-in-asia-in-summer,"showForm, Honeymoon, Asia, Bot, Romantic, Budget, thumbsUpPopup, International, Couples, summer, seasons",
5563,things-to-do-in-delhi-in-summer,"showForm, India, Bot, Things To Do, Delhi, referralpopup, thumbsUpPopup, Domestic, summer, weekend, activities, seasons, showadsonblog",
5575,best-places-to-visit-in-india-in-summer,"showForm, India, Bot, Places To Visit, Kashmir, Manali, Shimla, gangtok, thumbsUpPopup, Domestic, summer, Munnar, tourist attractions, Coorg, seasons, Mt Abu, Rishikesh",
5612,mauritius-vs-seychelles-for-honeymoon,"showForm, Honeymoon, Bot, Mauritius, Africa, Seychelles, Romantic, thumbsUpPopup, International, Couples, comparison",
5639,hill-stations-near-bangalore-for-the-summer-of-2015,"India, Bot, Places To Visit, Bangalore, thumbsUpPopup, Domestic, South India, summer, weekend, hill stations, seasons, places near Bangalore, showadsonblog",
5657,places-to-visit-in-bali-for-honeymoon,"showForm, Honeymoon, Asia, Bot, Places To Visit, Bali, Indonesia, Romantic, referralpopup, thumbsUpPopup, International, Couples",
5708,indian-destinations-for-that-killer-dp,"India, Photo Blogs, Places To Visit, thumbsUpPopup, beautiful places, Inspiration, travel ideas",
5734,best-shipwreck-diving-sites,"Adventure, Offbeat, Beach, referralpopup, thumbsUpPopup, Water Activities, travel ideas, watersports, diving, scuba",
5763,reasons-why-you-should-never-visit-kolkata,"India, Photo Blogs, Kolkata, referralpopup, thumbsUpPopup, Domestic, West Bengal",
5823,hotels-in-manali-for-honeymoon,"showForm, Honeymoon, India, Places To Stay, Bot, Himachal, Manali, hotels, Romantic, referralpopup, thumbsUpPopup, Domestic, Couples, North India",
5855,places-for-river-rafting-in-india,"showForm, Adventure, India, Bot, Places To Visit, referralpopup, thumbsUpPopup, Domestic, rafting",
5859,picnic-spots-near-mumbai-in-summer,"showForm, India, Bot, Mumbai, referralpopup, thumbsUpPopup, Domestic, summer, picnic spots, weekend, seasons, places near Mumbai, showadsonblog",
5863,places-to-go-with-friends-during-summer,"India, Bot, Places To Visit, referralpopup, thumbsUpPopup, Domestic, summer, seasons",
5866,amazing-tree-houses-in-india,"India, Kerala, Places To Stay, Himachal, Offbeat, Rajasthan, Resorts, hotels, Maharashtra, referralpopup, thumbsUpPopup, Domestic, tree houses, showadsonblog",
5871,splash-worthy-infinity-pools-in-asia,"Asia, India, Maldives, Thailand, Singapore, Seychelles, Bali, hotels, Vietnam, referralpopup, thumbsUpPopup, International, fun, swimming pools, infinity pools",
5948,picnic-spots-near-pune-in-summer,"showForm, India, Bot, Places To Visit, Pune, Maharashtra, referralpopup, thumbsUpPopup, Sightseeing, South India, summer, picnic spots, weekend, tourist attractions, seasons, showadsonblog",
6009,photos-that-will-make-you-want-to-leave-for-himachal-now,"India, Inspirational, Photo Blogs, Himachal, referralpopup, thumbsUpPopup, Domestic, Guide, North India",
6062,reasons-to-love-sri-lanka,"Asia, Sri Lanka, referralpopup, thumbsUpPopup, International, Guide",
6109,dont-do-things-while-in-goa,"India, Things To Do, Goa, referralpopup, thumbsUpPopup, Domestic",
6123,places-to-visit-in-indonesia-for-honeymoon,"showForm, Honeymoon, Asia, Bot, Places To Visit, Indonesia, Romantic, referralpopup, thumbsUpPopup, International, Couples, tourist attractions",
6135,best-hill-stations-in-india,"showForm, India, Bot, Places To Visit, referralpopup, thumbsUpPopup, Domestic, hill stations",
6201,best-things-to-do-in-nainital,"showForm, India, Bot, Things To Do, Nainital, Uttarakhand, referralpopup, thumbsUpPopup, Domestic, North India",
6216,romantic-resorts-in-turkey,"showForm, Honeymoon, Places To Stay, Bot, Turkey, Resorts, hotels, Romantic, referralpopup, thumbsUpPopup, International, luxury travel",
6228,picnic-spots-near-delhi-in-summer,"showForm, India, Bot, Delhi, referralpopup, thumbsUpPopup, Domestic, summer, picnic spots, weekend, seasons, places near Delhi, showadsonblog",
6244,best-resorts-near-delhi,"showForm, India, Places To Stay, Bot, Delhi, Resorts, referralpopup, thumbsUpPopup, Domestic, weekend, showadsonblog",
6290,best-hotels-in-nainital-on-mall-road,"India, Places To Stay, Bot, Nainital, hotels, Uttarakhand, referralpopup, thumbsUpPopup, Domestic, Mall Road, North India",
6304,hill-stations-near-hyderabad,"showForm, India, Bot, Places To Visit, Hyderabad, referralpopup, thumbsUpPopup, Domestic, South India, weekend, hill stations, places near Hyderabad, Telangana, showadsonblog",
6315,hill-stations-near-mumbai,"showForm, India, Bot, Places To Visit, Mumbai, referralpopup, thumbsUpPopup, Domestic, weekend, hill stations, places near Mumbai",
6333,places-to-visit-in-leh-ladakh,"showForm, India, Bot, Places To Visit, Ladakh, referralpopup, Leh, thumbsUpPopup, Domestic, North India",
6348,hill-stations-near-chennai,"showForm, India, Bot, Places To Visit, Chennai, referralpopup, thumbsUpPopup, Domestic, South India, Tamil Nadu, weekend, hill stations, places near Chennai, showadsonblog",
6375,places-to-see-in-a-day-around-bangalore,"showForm, India, Bot, Places To Visit, Bangalore, Karnataka, referralpopup, thumbsUpPopup, Sightseeing, Domestic, South India, weekend, tourist attractions, one-day trip, showadsonblog",
6397,places-to-visit-in-kashmir,"showForm, India, Bot, Places To Visit, Kashmir, referralpopup, thumbsUpPopup, Domestic, tourist attractions, North India",
6440,things-to-do-in-manali,"showForm, India, Bot, Things To Do, Himachal, Manali, referralpopup, thumbsUpPopup, Domestic, activities, North India",
6459,best-wildlife-resorts-in-india,"showForm, Adventure, India, Places To Stay, Bot, Offbeat, Resorts, referralpopup, wildlife, thumbsUpPopup, Domestic",
6537,places-to-wake-up-on-your-anniversary,"Honeymoon, Worldwide, Places To Visit, Romantic, referralpopup, thumbsUpPopup, Couples, Guide, beautiful places, tips",
6551,things-to-do-in-maldives-on-honeymoon,"showForm, Honeymoon, Asia, Bot, Things To Do, Maldives, Romantic, referralpopup, thumbsUpPopup, International, Couples, activities",
6578,offbeat-summer-vacation-destinations-for-families-in-india,"Destinations, Kerala, Family, Bot, Places To Visit, Offbeat, Maharashtra, Uttarakhand, referralpopup, thumbsUpPopup, Domestic, Himachal Pradesh, summer, Tamil Nadu, Arunachal Pradesh, Sikkim",
6593,best-places-to-visit-in-shimla,"showForm, India, Bot, Places To Visit, Himachal, Shimla, referralpopup, thumbsUpPopup, Sightseeing, Domestic, tourist attractions",
6595,best-honeymoon-resorts-in-bali,"showForm, Honeymoon, Asia, Places To Stay, Bot, Bali, Indonesia, Resorts, Romantic, referralpopup, thumbsUpPopup, International, Couples",
6609,night-walking-tours-in-delhi,"India, Things To Do, Delhi, Nightlife, referralpopup, thumbsUpPopup, Domestic, North India, showadsonblog",
6636,best-honeymoon-destinations-in-turkey,"showForm, Honeymoon, Asia, Bot, Places To Visit, Europe, Turkey, Romantic, referralpopup, thumbsUpPopup, International, Couples",
6672,proof-that-pune-is-better-than-mumbai,"India, Mumbai, Pune, Maharashtra, referralpopup, thumbsUpPopup, Domestic, comparison",
6683,cycling-routes-in-india,"Adventure, India, Things To Do, referralpopup, thumbsUpPopup, Domestic, fun, cycling, showadsonblog",
6758,reasons-to-love-hyderabad,"India, Photo Blogs, Things To Do, Places To Visit, Hyderabad, referralpopup, thumbsUpPopup, Domestic, Guide, South India, Telangana, showadsonblog",
6766,waterfalls-near-delhi,"showForm, India, Bot, Places To Visit, Delhi, Waterfalls, referralpopup, thumbsUpPopup, Domestic, weekend, places near Delhi, showadsonblog",
6790,best-places-to-visit-in-himachal-pradesh,"showForm, India, Bot, Places To Visit, Himachal, referralpopup, thumbsUpPopup, Domestic, tourist attractions, North India",
6796,best-places-to-visit-in-nainital,"showForm, India, Bot, Places To Visit, Nainital, Uttarakhand, referralpopup, thumbsUpPopup, Domestic, North India",
6799,best-honeymoon-destinations-in-himachal-pradesh,"showForm, Honeymoon, India, Bot, Places To Visit, Himachal, Romantic, referralpopup, thumbsUpPopup, Domestic, Couples, North India",
